Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Ident

"LK100","","0","0","0","0","0","0","None","0","LKGRAFMNP_10"
"IC1","BGA216C80P15X15_1300X1300X110","72.8","44.36","72.8","44.36","67.2","38.76","Top","90","ICSTM32F746-S11"
"C302","CAPC1005X70N","71.2","47.21","71.2","47.21","71.2","47.66","Bottom","90","KO104V50-S03"
"C303","CAPC1005X70N","74.4","47.214","74.4","47.214","74.4","47.664","Bottom","90","KO104V50-S03"
"C304","CAPC1005X70N","73.6","47.214","73.6","47.214","73.6","47.664","Bottom","90","KO104V50-S03"
"C305","CAPC1005X70N","72.8","47.214","72.8","47.214","72.8","47.664","Bottom","90","KO104V50-S03"
"C306","CAPC1005X70N","72","47.214","72","47.214","72","47.664","Bottom","90","KO104V50-S03"
"C307","CAPC1005X70N","75.65","45.96","75.65","45.96","76.1","45.96","Bottom","0","KO104V50-S03"
"C308","CAPC1005X70N","69.95","45.96","69.95","45.96","69.5","45.96","Bottom","180","KO104V50-S03"
"C309","CAPC1005X70N","69.95","45.164","69.95","45.164","69.5","45.164","Bottom","180","KO104V50-S03"
"C310","CAPC1005X70N","69.95","44.36","69.95","44.36","69.5","44.36","Bottom","180","KO104V50-S03"
"C311","CAPC1005X70N","69.95","43.56","69.95","43.56","69.5","43.56","Bottom","180","KO104V50-S03"
"C312","CAPC1005X70N","71.2","41.51","71.2","41.51","71.2","41.06","Bottom","270","KO104V50-S03"
"C313","CAPC1005X70N","72","41.51","72","41.51","72","41.06","Bottom","270","KO104V50-S03"
"C314","CAPC1005X70N","72.8","41.51","72.8","41.51","72.8","41.06","Bottom","270","KO104V50-S03"
"C315","CAPC1005X70N","73.6","41.51","73.6","41.51","73.6","41.06","Bottom","270","KO104V50-S03"
"C316","CAPC1005X70N","74.4","41.51","74.4","41.51","74.4","41.06","Bottom","270","KO104V50-S03"
"C317","CAPC1005X70N","75.65","43.603","75.65","43.603","76.1","43.603","Bottom","0","KO104V50-S03"
"C318","CAPC1005X70N","75.65","44.364","75.65","44.364","76.1","44.364","Bottom","0","KO104V50-S03"
"C319","CAPC1005X70N","75.65","45.164","75.65","45.164","76.1","45.164","Bottom","0","KO104V50-S03"
"C300","CAPC1608N","64.6","38.764","64.6","38.764","64.6","37.964","Top","90","KO4756V3-S11"
"C200","CAPC1608X90N","65.594","26.1","65.594","26.1","65.594","26.9","Top","270","KO104V50-S10"
"C201","CAPC1608X90N","73.568","21.448","73.568","21.448","73.568","22.248","Top","270","KO104V50-S10"
"C203","CAPC1608X90N","99.2","52.317","99.2","52.317","98.4","52.317","Top","0","KO104V50-S10"
"C204","CAPC1608X90N","94.974","45.088","94.974","45.088","94.974","44.288","Top","90","KO104V50-S10"
"C321","CAPC1608X90N","81.65","37.629","81.65","37.629","81.65","38.429","Top","270","KO104V50-S10"
"C322","CAPC1608X90N","82","47.629","82","47.629","82.8","47.629","Top","180","KO225V10-S11"
"C323","CAPC1608X90N","64.05","46.95","64.05","46.95","63.25","46.95","Top","0","KO225V10-S11"
"C324","CAPC1608X90N","86.477","24.416","86.477","24.416","87.277","24.416","Top","180","KO104V50-S10"
"C325","CAPC1608X90N","83.467","21.428","83.467","21.428","83.467","20.628","Top","90","KO104V50-S10"
"C402","CAPC1608X90N","14.9","65.7","14.9","65.7","14.9","64.9","Top","90","KO102V50-S35"
"C403","CAPC1608X90N","38.7","89.683","38.7","89.683","38.7","90.483","Top","270","KO102V50-S35"
"C404","CAPC1608X90N","38.7","84.084","38.7","84.084","38.7","84.884","Top","270","KO102V50-S35"
"C405","CAPC1608X90N","38.7","94.6","38.7","94.6","38.7","95.4","Top","270","KO102V50-S35"
"C502","CAPC1608X90N","107.902","6.375","107.902","6.375","108.702","6.375","Top","180","KO103V63-S52"
"C504","CAPC1608X90N","114.827","8.625","114.827","8.625","114.827","9.425","Top","270","KO103V63-S52"
"C507","CAPC1608X90N","118.1","83","118.1","83","117.3","83","Top","0","KO103V63-S52"
"C511","CAPC1608X90N","122.6","88.6","122.6","88.6","122.6","87.8","Top","90","KO104V50-S10"
"C513","CAPC1608X90N","71.58","83.2","71.58","83.2","70.78","83.2","Top","0","KO103V63-S52"
"C517","CAPC1608X90N","83","89","83","89","83","88.2","Top","90","KO104V50-S10"
"C600","CAPC1608X90N","27.95","47.499","27.95","47.499","27.95","48.299","Top","270","KO470V63-S16"
