Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Ident

"F1","FUSE_BOURNS-MF-R110","170.24","26.742","170.24","26.742","169.54","24.192","Top","90","PAMFR110-K42"
"X4","HARTING_09030006134","187.16","79.21","187.16","79.21","184.62","81.75","Top","0","ST09030006134-K00"
"X2","HARTING_09031246901","188.43","50","195","50","189.7","58.89","Top","90","ST09031246901-K00"
"X3","JST_B4P-VH","174.2","17","174.2","17","168.26","17","Top","0","STGB4P-VH-K30"
"R1","RESAD1000W55L630D240B","168.26","39","168.26","39","168.26","34","Top","90","WI000R-S10"
"R2","RESAD1000W55L630D240B","172.22","39","172.22","39","172.22","34","Top","90","WI000R-S10"
"R3","RESAD1000W55L630D240B","176.18","39","176.18","39","176.18","34","Top","90","WI000R-S10"
"R4","RESAD1000W55L630D240B","180.14","39","180.14","39","180.14","34","Top","90","WI000R-S10"
"X1","TE_726386-X","169.6","91.5","169.6","91.5","172.14","91.5","Top","180","STG726386-K01"
